item,word,pos,sense
1,lens,noun,concrete
2,flat,adj,concrete
3,field,noun,concrete
4,floated,verb,concrete
5,thread,noun,abstract
6,web,noun,concrete
7,steered,verb,concrete
8,key,noun,abstract
9,ladder,noun,concrete
10,weighed,verb,concrete
11,sharp,adj,abstract
12,digest,verb,abstract
13,struck,verb,concrete
14,wove,verb,concrete
15,harvested,verb,abstract
16,clear,adj,concrete
17,foundation,noun,abstract
18,sour,adj,concrete
19,juggled,verb,concrete
20,dry,adj,abstract
21,storm,noun,abstract
22,echo,noun,abstract
23,compass,noun,abstract
24,thin,adj,concrete
25,bitter,adj,concrete
26,stream,noun,abstract
27,solid,adj,abstract
28,flame,noun,concrete
29,harvested,verb,concrete
30,chewed,verb,abstract
31,web,noun,abstract
32,low,adj,concrete
33,rough,adj,concrete
34,step,noun,abstract
35,rose,verb,abstract
36,froze,verb,concrete
37,cut,verb,concrete
38,spark,noun,abstract
39,deep,adj,concrete
40,high,adj,abstract
41,mirror,noun,abstract
42,key,noun,concrete
43,slippery,adj,abstract
44,sweet,adj,abstract
45,court,noun,abstract
46,cold,adj,abstract
47,pulled,verb,abstract
48,swallowed,verb,abstract
49,ceiling,noun,concrete
50,froze,verb,abstract
51,current,noun,concrete
52,hard,adj,abstract
53,cut,verb,abstract
54,planted,verb,abstract
55,flat,adj,abstract
56,frame,noun,abstract
57,compass,noun,concrete
58,weight,noun,abstract
59,flowed,verb,abstract
60,current,noun,abstract
61,dug,verb,concrete
62,fell,verb,abstract
63,high,adj,concrete
64,horizon,noun,concrete
65,climbed,verb,abstract
66,leaned,verb,abstract
67,bright,adj,abstract
68,heavy,adj,abstract
69,seed,noun,concrete
70,burned,verb,abstract
71,cold,adj,concrete
72,deep,adj,abstract
73,fragile,adj,concrete
74,thread,noun,concrete
75,soft,adj,abstract
76,filter,noun,abstract
77,solid,adj,concrete
78,mirror,noun,concrete
79,narrow,adj,concrete
80,light,adj,concrete
81,climbed,verb,concrete
82,chewed,verb,concrete
83,sweet,adj,concrete
84,drifted,verb,concrete
85,anchor,noun,abstract
86,bent,verb,abstract
87,warm,adj,concrete
88,built,verb,abstract
89,low,adj,abstract
90,spark,noun,concrete
91,bitter,adj,abstract
92,drifted,verb,abstract
93,door,noun,concrete
94,steered,verb,abstract
95,shallow,adj,abstract
96,cool,adj,abstract
97,weight,noun,concrete
98,carried,verb,concrete
99,sticky,adj,abstract
100,root,noun,abstract
101,flame,noun,abstract
102,held,verb,concrete
103,hollow,adj,concrete
104,fell,verb,concrete
105,swallowed,verb,concrete
106,branch,noun,abstract
107,absorbed,verb,concrete
108,slippery,adj,concrete
109,road,noun,abstract
110,field,noun,abstract
111,balance,noun,concrete
112,ladder,noun,abstract
113,shouldered,verb,concrete
114,shouldered,verb,abstract
115,stretched,verb,abstract
116,dull,adj,abstract
117,floor,noun,concrete
118,broke,verb,abstract
119,foundation,noun,concrete
120,road,noun,concrete
121,dark,adj,abstract
122,bright,adj,concrete
123,blunt,adj,concrete
124,thin,adj,abstract
125,melted,verb,concrete
126,bridge,noun,concrete
127,heavy,adj,concrete
128,touched,verb,abstract
129,pushed,verb,concrete
130,sour,adj,abstract
131,runs,verb,concrete
132,dug,verb,abstract
133,carried,verb,abstract
134,juggled,verb,abstract
135,struck,verb,abstract
136,rose,verb,concrete
137,wave,noun,abstract
138,melted,verb,abstract
139,grasped,verb,concrete
140,pulled,verb,concrete
141,hollow,adj,abstract
142,root,noun,concrete
143,sank,verb,concrete
144,spun,verb,concrete
145,clear,adj,abstract
146,channel,noun,abstract
147,navigated,verb,concrete
148,wall,noun,abstract
149,soft,adj,concrete
150,leaned,verb,concrete
151,step,noun,concrete
152,grasped,verb,abstract
153,broad,adj,concrete
154,blunt,adj,abstract
155,cool,adj,concrete
156,held,verb,abstract
157,dry,adj,concrete
158,sharp,adj,concrete
159,door,noun,abstract
160,shallow,adj,concrete
161,path,noun,abstract
162,filter,noun,concrete
163,floated,verb,abstract
164,hard,adj,concrete
165,stretched,verb,concrete
166,shadow,noun,concrete
167,rough,adj,abstract
168,light,adj,abstract
169,see,verb,concrete
170,warm,adj,abstract
171,navigated,verb,abstract
172,horizon,noun,abstract
173,floor,noun,abstract
174,wove,verb,abstract
175,see,verb,abstract
176,sticky,adj,concrete
177,pushed,verb,abstract
178,broke,verb,concrete
179,wall,noun,concrete
180,ceiling,noun,abstract
181,chain,noun,concrete
182,planted,verb,concrete
183,runs,verb,abstract
184,storm,noun,concrete
185,path,noun,concrete
186,sank,verb,abstract
187,dull,adj,concrete
188,burned,verb,concrete
189,smooth,adj,abstract
190,bridge,noun,abstract
191,broad,adj,abstract
192,built,verb,concrete
193,flowed,verb,concrete
194,echo,noun,concrete
195,court,noun,concrete
196,bent,verb,concrete
197,smooth,adj,concrete
198,absorbed,verb,abstract
199,spun,verb,abstract
200,wave,noun,concrete
201,narrow,adj,abstract
202,lens,noun,abstract
203,fragile,adj,abstract
204,weighed,verb,abstract
205,chain,noun,abstract
206,stream,noun,concrete
207,seed,noun,abstract
208,touched,verb,concrete
209,shadow,noun,abstract
210,channel,noun,concrete
211,frame,noun,concrete
212,branch,noun,concrete
213,dark,adj,concrete
214,balance,noun,abstract
215,digest,verb,concrete
216,anchor,noun,concrete
